BATCH,VEHICLE,BANK,KM,YEAR,FUEL,COLOR,FIPE,YARD,RESUME-TYPE,TYPE,HAS-KEY
1,renault/kwid zen 1.0 mecanico,BANCO SANTANDER S/A,23.368,20/21,Flex,BRANCA,"R$ 49.991,00",PATIO 2 - FORTALEZA/CE,Recuperado de Financiamento,Veículos,Sim
2,chevrolet/prisma joye 1.0 mecanico (4p),BANCO SANTANDER S/A,58.003,19/19,Flex,BRANCA,"R$ 53.894,00",PATIO 2 - FORTALEZA/CE,Recuperado de Financiamento,Veículos,Sim
3,fiat/strada hard working cabine simples cc e,BANCO SANTANDER S/A,102.032,19/19,Flex,PRATA,"R$ 61.111,00",PATIO 2 - FORTALEZA/CE,Recuperado de Financiamento,Veículos,Sim
4,hyundai/hb20 unique (4p),BANCO SANTANDER S/A,72.312,19/19,Flex,BRANCA,"R$ 55.370,00",PATIO 2 - FORTALEZA/CE,Recuperado de Financiamento,Veículos,Sim
5,ford/ka se c,BANCO SANTANDER S/A,119.655,19/20,Flex,BRANCA,"R$ 57.698,00",PATIO 2 - FORTALEZA/CE,Recuperado de Financiamento,Veículos,Sim
6,fiat/argo drive 1.0 (4p),BANCO SANTANDER S/A,53.201,18/18,Flex,VERMELHA,"R$ 54.644,00",PATIO 2 - FORTALEZA/CE,Recuperado de Financiamento,Veículos,Sim
7,volkswagen/novo gol trendline mcv (4p),BANCO SANTANDER S/A,93.264,18/18,Flex,BRANCA,"R$ 46.909,00",PATIO 2 - FORTALEZA/CE,Recuperado de Financiamento,Veículos,Sim
8,volkswagen/jetta highline ae (4p),BANCO SANTANDER S/A,124.126,16/16,Gasolina,BRANCA,"R$ 93.171,00",PATIO 2 - FORTALEZA/CE,Recuperado de Financiamento,Veículos,Sim
14,honda/cg 125 cargo ks,NORSA REFRIGERANTES S/A,,13/13,Gasolina,VERMELHA,"R$ 7.839,00",PATIO FORTALEZA/CE,Frota,Motos,Não
15,honda/cg 125 cargo ks,NORSA REFRIGERANTES S/A,,13/13,Gasolina,VERMELHA,"R$ 7.839,00",PATIO FORTALEZA/CE,Frota,Motos,Não
16,honda/cg 125 cargo ks,NORSA REFRIGERANTES S/A,,13/13,Gasolina,VERMELHA,"R$ 7.839,00",PATIO FORTALEZA/CE,Frota,Motos,Não
17,honda/cg 125 cargo ks,NORSA REFRIGERANTES S/A,,13/13,Gasolina,VERMELHA,"R$ 7.839,00",PATIO FORTALEZA/CE,Frota,Motos,Não
18,honda/cg 125 cargo ks,NORSA REFRIGERANTES S/A,,13/13,Gasolina,VERMELHA,"R$ 7.839,00",PATIO FORTALEZA/CE,Frota,Motos,Não
19,honda/cg 125 cargo ks,NORSA REFRIGERANTES S/A,,14/14,Gasolina,BRANCA,"R$ 8.715,00",PATIO FORTALEZA/CE,Frota,Motos,Não
20,chevrolet/onix lt 1.0 mecanico (4p),BANCO VOLKSWAGEN S/A,74.804,17/17,Flex,BRANCA,"R$ 50.743,00",PATIO FORTALEZA/CE,Recuperado de Financiamento,Veículos,Sim
