BATCH,VEHICLE,BANK,KM,YEAR,FUEL,COLOR,FIPE,YARD,RESUME-TYPE,TYPE,HAS-KEY
1,renault/kwid zen 1.0 mecanico (4p),BANCO SANTANDER S/A,56.674,20/21,Flex,BRANCA,"R$ 50.268,00",PATIO MANAUS,Recuperado de Financiamento,Veículos,Sim
4,honda/hr-v touring,BANCO SANTANDER S/A,87.401,18/18,Flex,BRANCA,"R$ 107.286,00",BENEVIDES-PA,Recuperado de Financiamento,Veículos,Sim
5,land rover/evoque se dynamic,BANCO SANTANDER S/A,62.731,17/17,Gasolina,VERMELHA,"R$ 184.987,00",PATIO MANAUS,Recuperado de Financiamento,Utilitários,Sim
6,renault/kwid zen 2 (4p),BANCO SANTANDER S/A,19.593,22/23,Flex,PRATA,"R$ 61.246,00",PATIO MANAUS,Recuperado de Financiamento,Veículos,Sim
7,hyundai/hb20 sense,BANCO SANTANDER S/A,10.461,21/22,Flex,PRATA,"R$ 69.252,00",PATIO MANAUS,Recuperado de Financiamento,Veículos,Sim
8,chevrolet/onix plus 10tat lt1,BANCO SANTANDER S/A,19.604,21/21,Flex,VERMELHA,"R$ 82.513,00",PATIO MANAUS,Recuperado de Financiamento,Veículos,Sim
9,renault/kwid intens 2 (4p),BANCO SANTANDER S/A,3.413,22/23,Flex,AZUL,"R$ 64.146,00",BENEVIDES-PA,Recuperado de Financiamento,Veículos,Sim
11,toyota/prius nga top,BANCO SANTANDER S/A,40.688,19/19,GASOLINA/ELETRICO,VERMELHA,"R$ 126.976,00",PATIO MANAUS,Recuperado de Financiamento,Veículos,Sim
13,hyundai/creta1ta pltinum,BANCO SANTANDER S/A,14.481,21/22,Flex,PRATA,"R$ 142.725,00",PATIO MANAUS,Recuperado de Financiamento,Utilitários,Sim
14,volkswagen/voyage mb5 (4p),BANCO SANTANDER S/A,51.845,18/19,Flex,PRATA,"R$ 56.021,00",BENEVIDES-PA,Recuperado de Financiamento,Veículos,Sim
